Edad,Género,Obesidad,Ingresos familiares promedio,Tamaño de la familia,Título educativo del padre,Título educativo de la madre,Estado civil de los padres,Horas de estudio,Estado residencial,Tipo de familia,Número de niños que viven juntos en casa,Educación de género,Categoría de escuelas,Número promedio de días de ausencia,Distancia entre el hogar y la escuela,Número promedio de días de retraso,Modo de desplazamiento a la escuela,Rendimiento académico previo,Estrés,Actividad física,Ingesta de alimentos,Consumo de tabaco,Consumo de alcohol por semana,Tipo de comportamiento,Pensamiento positivo u optimista,Sentirse tenso o incómodo,Sentirse triste o deprimido,Rendimiento académico
otros,masculino,no,alta,mediano,posgrado,primaria,divorciado,1.0,con familiares,conjunto,5,mixto,público,3,3–5 km,dos veces a la semana,transporte privado,moderado,leve,ocasional,ocasional,regular,regular,rara vez,a veces,casi siempre,bastante a menudo,bajo
adolescencia media,femenino,sí,clase baja,pequeño,preparatoria,posgrado,divorciado,2.2,con familiares,nuclear,1,mixto,público,1,1–3 km,nunca,a pie,alto,mayor,nunca,nunca,ocasional,ocasional,bastante a menudo,rara vez,casi siempre,casi nunca,bajo
otros,femenino,sí,alta,mediano,posgrado,licenciatura,divorciado,2.1,albergue,nuclear,6,unisexo,público,3,más de 5 km,una vez a la semana,transporte público,moderado,leve,ocasional,nunca,regular,nunca,bastante a menudo,a veces,bastante a menudo,casi nunca,bajo
adolescencia temprana,femenino,no,clase media-baja,grande,posgrado,licenciatura,viudo,1.3,albergue,conjunto,3,unisexo,público,2,más de 5 km,dos veces a la semana,transporte público,moderado,grave,nunca,ocasional,regular,ocasional,rara vez,rara vez,bastante a menudo,algunas veces,bajo
adolescencia tardía,masculino,sí,clase media-alta,grande,posgrado,primaria,divorciado,3.2,con familiares,nuclear,4,mixto,público,6,menos de 1 km,casi todos los días,transporte público,alto,muy poco estrés,regular,ocasional,regular,ocasional,casi nunca,casi nunca,bastante a menudo,bastante a menudo,moderado
adolescencia media,femenino,sí,alta,pequeño,sin educación,posgrado,separado,3.6,con padres,conjunto,4,mixto,público,4,más de 5 km,una vez a la semana,transporte privado,alto,grave,ocasional,nunca,regular,regular,casi nunca,rara vez,algunas veces,algunas veces,moderado
adolescencia tardía,masculino,no,clase media-baja,mediano,sin educación,licenciatura,divorciado,3.0,con familiares,conjunto,2,unisexo,público,3,más de 5 km,nunca,transporte público,bajo,leve,nunca,ocasional,ocasional,regular,rara vez,casi siempre,algunas veces,casi nunca,bajo
otros,femenino,sí,alta,mediano,secundaria,licenciatura,divorciado,1.9,con familiares,nuclear,1,mixto,público,3,3–5 km,nunca,a pie,bajo,moderado,regular,regular,nunca,nunca,algunas veces,rara vez,casi siempre,casi nunca,bajo
otros,masculino,no,alta,pequeño,preparatoria,posgrado,divorciado,1.4,con familiares,nuclear,1,unisexo,público,4,menos de 1 km,dos veces a la semana,transporte privado,bajo,muy poco estrés,nunca,regular,ocasional,nunca,casi nunca,a veces,casi nunca,algunas veces,bajo
adolescencia tardía,femenino,sí,alta,pequeño,primaria,posgrado,soltero,1.8,con familiares,conjunto,6,unisexo,público,1,menos de 1 km,dos veces a la semana,transporte privado,moderado,muy poco estrés,regular,ocasional,ocasional,regular,algunas veces,rara vez,casi siempre,bastante a menudo,bajo
adolescencia media,femenino,sí,clase baja,grande,posgrado,posgrado,soltero,2.8,con familiares,conjunto,5,mixto,privado,3,menos de 1 km,nunca,a pie,alto,leve,regular,ocasional,nunca,regular,casi nunca,casi siempre,algunas veces,algunas veces,moderado
adolescencia temprana,masculino,sí,clase media-baja,mediano,secundaria,secundaria,soltero,1.1,con padres,conjunto,1,unisexo,público,1,menos de 1 km,casi todos los días,a pie,alto,leve,ocasional,regular,ocasional,ocasional,casi siempre,bastante a menudo,algunas veces,bastante a menudo,bajo
adolescencia media,femenino,sí,clase media-baja,grande,licenciatura,sin educación,separado,1.0,albergue,nuclear,6,mixto,privado,1,menos de 1 km,casi todos los días,transporte público,moderado,leve,regular,regular,ocasional,nunca,algunas veces,bastante a menudo,casi siempre,bastante a menudo,bajo
adolescencia media,femenino,sí,clase media-baja,pequeño,posgrado,posgrado,separado,3.3,con padres,conjunto,6,unisexo,público,2,1–3 km,nunca,a pie,alto,moderado,nunca,regular,ocasional,ocasional,bastante a menudo,casi nunca,algunas veces,algunas veces,moderado
otros,masculino,sí,alta,grande,preparatoria,primaria,casado,1.5,con familiares,nuclear,4,mixto,privado,3,más de 5 km,nunca,a pie,alto,leve,regular,ocasional,regular,nunca,algunas veces,bastante a menudo,rara vez,bastante a menudo,bajo
otros,femenino,sí,clase media-alta,grande,preparatoria,posgrado,casado,3.5,con padres,nuclear,2,mixto,privado,1,3–5 km,casi todos los días,transporte privado,moderado,mayor,ocasional,ocasional,ocasional,ocasional,rara vez,bastante a menudo,casi nunca,rara vez,moderado
adolescencia media,femenino,no,clase media-alta,grande,secundaria,sin educación,separado,2.9,con padres,conjunto,3,mixto,público,7,1–3 km,una vez a la semana,transporte público,moderado,moderado,ocasional,regular,ocasional,ocasional,algunas veces,rara vez,algunas veces,casi nunca,moderado
otros,masculino,sí,clase media-baja,mediano,sin educación,posgrado,viudo,1.4,albergue,conjunto,1,mixto,privado,0,1–3 km,una vez a la semana,a pie,alto,moderado,nunca,nunca,ocasional,nunca,casi nunca,rara vez,bastante a menudo,casi siempre,bajo
otros,masculino,sí,alta,pequeño,secundaria,licenciatura,separado,0.1,con padres,conjunto,1,unisexo,público,2,más de 5 km,casi todos los días,a pie,moderado,grave,regular,regular,regular,ocasional,casi siempre,bastante a menudo,bastante a menudo,bastante a menudo,bajo
adolescencia temprana,femenino,sí,clase baja,grande,preparatoria,secundaria,viudo,2.9,albergue,conjunto,4,unisexo,privado,2,1–3 km,nunca,transporte privado,bajo,leve,nunca,nunca,ocasional,ocasional,bastante a menudo,bastante a menudo,casi siempre,casi siempre,bajo
adolescencia media,masculino,no,clase media-alta,pequeño,posgrado,licenciatura,separado,0.8,con padres,conjunto,5,unisexo,privado,1,más de 5 km,dos veces a la semana,transporte privado,moderado,moderado,nunca,ocasional,nunca,nunca,algunas veces,rara vez,rara vez,rara vez,bajo
otros,masculino,sí,clase media-alta,pequeño,posgrado,licenciatura,soltero,2.9,con padres,conjunto,6,unisexo,privado,1,menos de 1 km,dos veces a la semana,a pie,bajo,mayor,nunca,regular,nunca,regular,algunas veces,casi nunca,algunas veces,rara vez,bajo
adolescencia temprana,femenino,no,clase media-alta,grande,licenciatura,preparatoria,viudo,1.4,con padres,nuclear,4,unisexo,privado,3,más de 5 km,una vez a la semana,a pie,moderado,moderado,regular,ocasional,regular,ocasional,casi siempre,rara vez,bastante a menudo,algunas veces,bajo
adolescencia media,masculino,sí,clase media-baja,pequeño,licenciatura,preparatoria,viudo,3.4,con familiares,conjunto,3,unisexo,público,5,3–5 km,casi todos los días,a pie,moderado,mayor,nunca,ocasional,regular,ocasional,rara vez,a veces,algunas veces,bastante a menudo,moderado
otros,femenino,no,clase media-baja,mediano,primaria,posgrado,soltero,3.8,con padres,nuclear,5,mixto,privado,5,más de 5 km,dos veces a la semana,a pie,bajo,muy poco estrés,regular,ocasional,ocasional,ocasional,casi siempre,a veces,casi siempre,algunas veces,bajo
adolescencia tardía,femenino,sí,alta,grande,preparatoria,primaria,casado,0.9,con padres,nuclear,6,unisexo,privado,2,3–5 km,dos veces a la semana,a pie,moderado,moderado,regular,regular,nunca,regular,casi siempre,casi siempre,casi nunca,rara vez,bajo
adolescencia tardía,femenino,no,alta,pequeño,preparatoria,primaria,divorciado,1.5,con padres,conjunto,5,unisexo,privado,2,3–5 km,dos veces a la semana,transporte privado,moderado,moderado,ocasional,regular,ocasional,nunca,bastante a menudo,casi siempre,bastante a menudo,bastante a menudo,bajo
adolescencia tardía,femenino,no,alta,grande,preparatoria,secundaria,casado,2.7,albergue,nuclear,3,mixto,público,4,menos de 1 km,nunca,a pie,alto,leve,ocasional,regular,nunca,ocasional,casi nunca,rara vez,rara vez,bastante a menudo,moderado
adolescencia media,masculino,sí,clase media-alta,pequeño,posgrado,posgrado,casado,2.8,albergue,nuclear,1,unisexo,privado,2,1–3 km,casi todos los días,transporte público,alto,leve,nunca,nunca,nunca,ocasional,casi siempre,rara vez,algunas veces,bastante a menudo,moderado
adolescencia media,masculino,sí,clase baja,pequeño,preparatoria,licenciatura,soltero,0.4,con padres,nuclear,6,unisexo,privado,4,más de 5 km,dos veces a la semana,transporte privado,bajo,mayor,regular,nunca,ocasional,regular,casi siempre,casi nunca,casi siempre,casi siempre,bajo
adolescencia tardía,masculino,sí,alta,mediano,licenciatura,posgrado,separado,3.3,con padres,conjunto,5,unisexo,público,2,1–3 km,una vez a la semana,a pie,alto,grave,regular,ocasional,regular,ocasional,rara vez,rara vez,algunas veces,casi siempre,moderado
adolescencia media,femenino,no,clase media-alta,pequeño,primaria,preparatoria,divorciado,2.5,con padres,nuclear,3,mixto,privado,3,1–3 km,nunca,transporte privado,moderado,moderado,regular,ocasional,regular,regular,casi siempre,casi nunca,casi siempre,rara vez,moderado
adolescencia media,femenino,sí,alta,grande,posgrado,preparatoria,separado,1.0,con padres,nuclear,5,unisexo,privado,2,más de 5 km,dos veces a la semana,a pie,bajo,mayor,ocasional,nunca,nunca,nunca,casi siempre,a veces,casi nunca,casi siempre,bajo
adolescencia temprana,femenino,sí,clase media-alta,pequeño,posgrado,secundaria,soltero,2.5,con padres,nuclear,5,mixto,privado,2,3–5 km,casi todos los días,transporte privado,moderado,mayor,ocasional,regular,nunca,nunca,algunas veces,rara vez,algunas veces,casi siempre,moderado
adolescencia media,masculino,no,clase media-baja,grande,posgrado,preparatoria,soltero,3.3,con familiares,conjunto,5,unisexo,público,11,más de 5 km,nunca,transporte privado,bajo,mayor,regular,ocasional,regular,regular,algunas veces,rara vez,algunas veces,rara vez,bajo
otros,masculino,no,alta,grande,licenciatura,licenciatura,soltero,2.3,con familiares,nuclear,5,mixto,privado,7,más de 5 km,dos veces a la semana,a pie,bajo,grave,ocasional,ocasional,nunca,ocasional,bastante a menudo,rara vez,rara vez,casi siempre,bajo
adolescencia media,femenino,no,clase media-baja,grande,preparatoria,posgrado,viudo,0.9,albergue,nuclear,4,mixto,privado,1,menos de 1 km,dos veces a la semana,a pie,alto,muy poco estrés,nunca,ocasional,nunca,regular,casi nunca,casi nunca,bastante a menudo,casi siempre,bajo
otros,masculino,sí,clase baja,grande,preparatoria,secundaria,casado,2.3,con padres,conjunto,1,unisexo,público,4,1–3 km,dos veces a la semana,transporte privado,alto,grave,regular,regular,regular,regular,casi nunca,a veces,algunas veces,casi nunca,bajo
adolescencia tardía,femenino,no,clase baja,pequeño,secundaria,secundaria,separado,3.8,con padres,conjunto,3,mixto,público,0,3–5 km,dos veces a la semana,transporte público,bajo,moderado,regular,nunca,ocasional,nunca,casi siempre,bastante a menudo,bastante a menudo,rara vez,bajo
adolescencia temprana,femenino,no,clase baja,pequeño,licenciatura,sin educación,soltero,3.9,con padres,nuclear,1,mixto,público,4,3–5 km,casi todos los días,a pie,moderado,mayor,ocasional,nunca,nunca,regular,rara vez,bastante a menudo,bastante a menudo,bastante a menudo,moderado
adolescencia temprana,femenino,sí,alta,grande,sin educación,posgrado,divorciado,0.9,con familiares,conjunto,3,mixto,público,3,3–5 km,nunca,transporte público,moderado,grave,regular,ocasional,ocasional,nunca,algunas veces,bastante a menudo,rara vez,algunas veces,bajo
otros,masculino,sí,clase media-alta,pequeño,posgrado,sin educación,casado,3.1,albergue,conjunto,1,unisexo,público,1,3–5 km,dos veces a la semana,a pie,bajo,grave,nunca,regular,ocasional,nunca,bastante a menudo,rara vez,casi nunca,casi nunca,bajo
otros,femenino,no,clase baja,grande,primaria,sin educación,viudo,2.7,con padres,conjunto,4,unisexo,público,0,3–5 km,dos veces a la semana,transporte público,alto,grave,ocasional,nunca,nunca,ocasional,rara vez,bastante a menudo,casi siempre,casi siempre,moderado
adolescencia tardía,femenino,no,clase media-alta,pequeño,secundaria,primaria,soltero,2.7,con familiares,nuclear,5,mixto,público,5,3–5 km,dos veces a la semana,transporte público,bajo,mayor,ocasional,nunca,regular,nunca,bastante a menudo,rara vez,algunas veces,algunas veces,bajo
otros,masculino,sí,clase baja,mediano,secundaria,posgrado,divorciado,4.0,albergue,nuclear,2,unisexo,privado,2,más de 5 km,dos veces a la semana,transporte privado,alto,leve,nunca,regular,regular,ocasional,casi nunca,a veces,bastante a menudo,casi nunca,moderado
adolescencia tardía,femenino,sí,clase media-baja,pequeño,preparatoria,sin educación,soltero,1.5,con padres,conjunto,2,unisexo,privado,4,3–5 km,nunca,a pie,moderado,leve,regular,regular,nunca,nunca,casi nunca,rara vez,casi siempre,casi siempre,bajo
adolescencia tardía,masculino,sí,clase media-baja,mediano,preparatoria,secundaria,soltero,1.7,albergue,nuclear,2,unisexo,privado,6,más de 5 km,casi todos los días,transporte público,alto,grave,ocasional,nunca,nunca,regular,algunas veces,rara vez,rara vez,casi nunca,bajo
adolescencia tardía,femenino,sí,alta,grande,sin educación,posgrado,soltero,1.6,albergue,conjunto,5,mixto,privado,4,menos de 1 km,casi todos los días,transporte privado,moderado,mayor,regular,regular,nunca,ocasional,rara vez,a veces,casi nunca,algunas veces,bajo
adolescencia media,femenino,no,clase media-alta,mediano,secundaria,licenciatura,soltero,1.9,con padres,conjunto,6,mixto,público,5,1–3 km,una vez a la semana,transporte público,moderado,muy poco estrés,ocasional,regular,nunca,nunca,casi siempre,casi siempre,bastante a menudo,rara vez,bajo
adolescencia temprana,masculino,sí,alta,pequeño,secundaria,secundaria,casado,2.7,albergue,nuclear,5,unisexo,público,3,1–3 km,nunca,transporte público,bajo,moderado,ocasional,regular,ocasional,ocasional,bastante a menudo,bastante a menudo,bastante a menudo,bastante a menudo,bajo
adolescencia tardía,femenino,sí,clase media-alta,pequeño,sin educación,sin educación,casado,1.6,con padres,nuclear,3,unisexo,privado,1,más de 5 km,nunca,transporte público,alto,leve,regular,ocasional,nunca,regular,casi siempre,a veces,rara vez,bastante a menudo,bajo
adolescencia media,masculino,no,clase media-baja,mediano,sin educación,posgrado,separado,2.6,albergue,nuclear,1,mixto,público,2,más de 5 km,una vez a la semana,a pie,moderado,grave,ocasional,ocasional,ocasional,ocasional,casi siempre,a veces,algunas veces,casi nunca,moderado
adolescencia media,femenino,sí,alta,mediano,licenciatura,primaria,separado,0.0,con padres,conjunto,6,unisexo,público,5,3–5 km,nunca,transporte privado,bajo,mayor,regular,ocasional,ocasional,regular,bastante a menudo,bastante a menudo,algunas veces,casi siempre,bajo
otros,femenino,no,clase media-baja,pequeño,licenciatura,posgrado,separado,4.5,albergue,nuclear,2,unisexo,público,1,menos de 1 km,nunca,transporte público,alto,muy poco estrés,regular,nunca,ocasional,ocasional,algunas veces,casi nunca,rara vez,rara vez,alto
adolescencia media,femenino,no,clase media-alta,mediano,sin educación,sin educación,viudo,4.0,con padres,nuclear,3,unisexo,privado,2,más de 5 km,dos veces a la semana,transporte público,alto,leve,regular,nunca,regular,ocasional,bastante a menudo,casi nunca,bastante a menudo,casi nunca,moderado
adolescencia temprana,femenino,no,clase media-baja,mediano,primaria,licenciatura,casado,2.4,con padres,conjunto,1,unisexo,privado,1,menos de 1 km,una vez a la semana,a pie,moderado,muy poco estrés,regular,regular,nunca,regular,algunas veces,casi nunca,algunas veces,casi nunca,bajo
adolescencia media,masculino,sí,alta,grande,secundaria,posgrado,casado,3.6,con padres,nuclear,6,unisexo,privado,5,3–5 km,una vez a la semana,transporte público,alto,muy poco estrés,ocasional,nunca,nunca,ocasional,casi siempre,casi nunca,algunas veces,casi nunca,moderado
otros,masculino,no,alta,grande,sin educación,secundaria,viudo,3.5,con padres,nuclear,1,mixto,público,1,1–3 km,casi todos los días,a pie,moderado,muy poco estrés,ocasional,regular,nunca,nunca,bastante a menudo,casi siempre,rara vez,rara vez,moderado
adolescencia media,masculino,no,clase media-alta,grande,secundaria,secundaria,soltero,2.9,con padres,conjunto,2,unisexo,privado,4,menos de 1 km,casi todos los días,transporte privado,bajo,leve,ocasional,ocasional,regular,nunca,bastante a menudo,casi nunca,casi siempre,casi siempre,bajo
adolescencia temprana,femenino,sí,clase media-alta,pequeño,secundaria,preparatoria,viudo,1.9,con familiares,nuclear,6,unisexo,público,3,1–3 km,casi todos los días,transporte público,bajo,grave,regular,nunca,ocasional,ocasional,rara vez,a veces,bastante a menudo,bastante a menudo,bajo
adolescencia temprana,femenino,no,alta,pequeño,preparatoria,sin educación,soltero,2.7,con padres,conjunto,5,unisexo,público,3,1–3 km,una vez a la semana,transporte privado,bajo,grave,regular,ocasional,nunca,regular,casi siempre,casi nunca,rara vez,rara vez,bajo
adolescencia media,masculino,sí,clase media-baja,pequeño,licenciatura,secundaria,divorciado,3.5,con familiares,nuclear,3,mixto,público,3,1–3 km,casi todos los días,transporte privado,bajo,moderado,ocasional,nunca,regular,nunca,algunas veces,bastante a menudo,casi siempre,rara vez,bajo
adolescencia temprana,femenino,no,alta,mediano,primaria,preparatoria,divorciado,2.5,con padres,conjunto,3,unisexo,público,4,más de 5 km,casi todos los días,transporte público,alto,grave,nunca,ocasional,regular,regular,rara vez,casi siempre,casi nunca,casi nunca,moderado
